Date,Parent org,Brand,Product Id,Product View Count
2024-06-25,loreal_org,lorealprofessionnel,12378088373,2
2024-05-20,colgatepalmolive_org,palmolive,8901314508324,1
2024-05-12,mamaearth_org,mamaearth,8906087776758,20
2024-06-24,loreal_org,lorealprofessionnel,3474630587472,5
2024-05-11,itc_org,itcmasterchefcookingpastes,8901725113148,1
2024-06-24,mondelez_org,cadburybournville,7622201444747,144
2024-06-27,mamaearth_org,mamaearth,8906087772491,431
2024-05-22,unilever_org,boost,8901030817281,3
2024-05-13,unilever_org,lipton,8901030587917,946
2024-06-30,kcl_org,huggies,8904009618278,3
2024-05-01,unilever_org,moti,8901030207143,249
2024-06-28,hersheys_org,hersheysexoticdark,F576573D234A7B928FC189A8D30976D6,50
2024-05-10,godrej_org,protekt,8901023023163,2
2024-06-23,kcl_org,huggies,10029820,2
2024-05-20,godrej_org,hit,8901023010002,46
2024-06-26,loreal_org,garnier,6970175255847,116
2024-05-16,godrej_org,hit,8901023010002,46
2024-05-04,loreal_org,lorealparis,8901526592494,47
2024-05-06,unilever_org,knorr,8901030516320,10
2024-05-20,unilever_org,ponds,8901030707698,47
2024-05-01,nestle_org,maggi,8901058847529,74
2024-05-12,itc_org,aashirvaadnaturessuperfoods,8901725106997,93
2024-05-04,nestle_org,nescafe,12374164,16
2024-06-28,hersheys_org,hersheysexoticdark,7326435483264,330
2024-05-08,unilever_org,vaseline,55499B6B3D8E4AE219A5B1E86018267D,452
2024-05-02,unilever_org,closeup,8901030676710,1
2024-05-13,gsk_org,sensodyne,SEN0011828384,75
2024-05-13,gsk_org,sensodyne,SEN4512001120,73
2024-05-15,unilever_org,lipton,8901030587917,1328
2024-05-03,nestle_org,nescafe,8766475634532,10
2024-05-13,mondelezinternational_org,cadburybournville,7622201505318,8
2024-05-17,colgatepalmolive_org,colgate,F2065A7E6F84A76428CD3F2606570860,1
2024-06-30,hersheys_org,hersheysexoticdark,HE00006C17602,93
2024-05-15,itc_org,aashirvaadmultigrain,8901725121648,6
2024-06-29,unilever_org,smartpick,8901030603846,39
2024-05-18,unilever_org,redlabel,8901030578212,14
2024-05-03,mamaearth_org,mamaearth,8906087773818,350
2024-05-11,unilever_org,horlicks,8901030820021,167
2024-05-14,unilever_org,kissan,8901030810978,25
2024-05-01,unilever_org,lipton,8901030559297,15
2024-05-05,loreal_org,lorealprofessionnel,3474630587472,6
2024-06-28,mondelez_org,cadburybournville,7622201505431,61
2024-06-28,loreal_org,garnier,8901526204236,2160
2024-06-23,unilever_org,sunsilk,8901030714245,18
2024-06-30,loreal_org,lorealparis,8901526101023,43
2024-06-23,unilever_org,vaseline,8901030732287,10
2024-06-27,unilever_org,dove,8901030825798,152
2024-05-17,unilever_org,magnum,4F8BD5812CD2AFEC5FAC7E547561A25F,193
2024-05-02,unilever_org,bru,8901030373930,5
2024-05-03,unilever_org,smartpick,8901030629211,36
2024-06-29,shortlyst_org,shortlyst,6923700981209,1
2024-05-20,loreal_org,lorealprofessionnel,3474630587472,2
2024-06-24,unilever_org,kwalitywalls,D33805A4A18DDD1ADCC66DB550F28257,227
2024-05-20,nestle_org,maggi,8901058845617,3
2024-06-25,mamaearth_org,mamaearth,8906087773818,1
2024-05-10,mamaearth_org,mamaearth,8906087776772,155
2024-05-02,unilever_org,kwalitywalls,3E971F33682AFFBE7BCB582CFE7DF297,31
2024-05-13,unilever_org,redlabel,8901030397943,2003
2024-05-10,unilever_org,smartpick,8901030591532,18
2024-05-05,unilever_org,vaseline,8901030733888,40
2024-05-20,itc_org,aashirvaadinstantmixes,8901725112592,1
2024-05-06,kcl_org,huggies,8904009617301,5
2024-05-16,loreal_org,lorealparis,LOR_HGC_2,53
2024-05-22,mamaearth_org,mamaearth,8906087773115,1
2024-05-01,unilever_org,boost,8901571005864,10
2024-05-03,unilever_org,vaseline,8901030733888,46
2024-05-20,unilever_org,ponds,8901030681349,76
2024-05-02,mamaearth_org,mamaearth,8906087772491,501
2024-05-02,unilever_org,closeup,8901030788055,83
2024-05-20,unilever_org,smartpick,8901030641855,21
2024-05-15,unilever_org,vaseline,8901030541278,55
2024-05-06,kcl_org,huggies,8904009617899,7
2024-05-04,colgatepalmolive_org,colgate,8234523654625,3
2024-05-06,unilever_org,ponds,8901030642838,63
2024-05-09,colgatepalmolive_org,palmolive,8901314006158,2
2024-06-26,unilever_org,kwalitywalls,0B8CC33257D414AA51AD51212AE18EAB,55
2024-05-20,unilever_org,surfexcel,8901030564222,47
2024-06-27,nestle_org,maggi,8901058847420,100
2024-05-04,unilever_org,smartpick,8901030603846,25
2024-05-13,godrej_org,hit,8901157025170,17
2024-05-20,unilever_org,horlicks,8901030807190,383
2024-05-11,loreal_org,garnier,6970175255847,87
2024-06-25,godrej_org,goodknight,8901023011276,73
2024-06-25,unilever_org,vaseline,8901030713880,94
2024-05-02,itc_org,aashirvaadnaturessuperfoods,8901725106966,243
2024-05-21,unilever_org,redlabel,8901030605093,27
2024-06-23,colgatepalmolive_org,palmolive,8901314005847,1
2024-05-04,loreal_org,maybelline,6902395781660,298
2024-05-12,unilever_org,rexona,8901030534690,151
2024-05-18,unilever_org,redlabel,8901030578182,55
2024-05-13,unilever_org,redlabel,8901030578205,108
2024-06-27,unilever_org,closeup,8901030725463,1
2024-05-20,nestle_org,maggi,8901058851298,3
2024-05-20,colgatepalmolive_org,colgate,265B7B5FB08E7F8CC1BF6DB06F8ED3E7,2
2024-05-06,godrej_org,hit,8901023019029,115
2024-05-08,unilever_org,horlicks,8901571003273,152
2024-06-24,unilever_org,closeup,8901030788062,1
2024-05-17,loreal_org,garnier,6970175255885,48
